query_number,document_number
1,3392
1,3396
2,2623
2,4291
3,1407
3,1431
3,3794
3,3795
3,3796
4,604
4,3527
4,4644
4,5087
4,5112
4,5113
4,5295
5,3401
6,111
6,112
6,113
6,1100
6,1581
6,1582
6,2090
6,2616
6,2620
6,3647
6,4155
6,5066
7,277
7,278
7,279
7,1277
7,1278
7,1769
7,2279
7,3265
7,3267
7,3450
7,3789
7,5220
7,5748
7,5778
8,40
8,49
8,199
8,524
8,697
8,701
8,1043
8,1044
8,1190
8,1191
8,1534
8,1677
8,2039
8,2545
8,3045
9,178
9,680
9,681
9,1412
9,3178
9,3689
9,3922
9,4374
9,4692
9,4693
9,5706
9,5859
0,769
0,770
0,1309
0,1310
0,1807
0,2318
0,2319
0,2321
0,2407
0,3814
0,4290
0,4804
0,5800
0,5801
1,1046
2,358
2,1141
2,5101
3,5000
3,5001
4,576
4,579
4,580
4,585
4,1082
4,2319
4,2627
4,3628
4,4589
4,4591
4,5386
5,287
5,422
5,877
5,1407
5,2799
5,2800
5,3274
5,3794
5,3795
5,3796
5,3893
5,3898
6,743
6,2151
6,5201
7,716
7,1262
7,1790
7,2180
7,2777
7,2779
7,2952
8,403
8,404
8,405
8,440
8,441
8,936
8,939
8,940
8,950
8,1414
8,1415
8,1416
8,1913
8,1934
8,1935
8,1936
9,166
9,256
9,270
9,430
9,1636
9,2171
9,2236
9,2760
9,2916
9,3242
9,3254
9,3679
9,3781
9,5206
0,489
0,490
0,1497
0,3391
0,3901
0,6004
1,434
1,882
1,1429
1,1894
1,1899
1,2416
1,2934
1,2947
1,3405
1,3407
1,3900
1,3902
1,3903
1,3942
5,738
5,1217
5,2246
5,2284
5,2772
5,3276
5,3799
4,2410
4,2949
4,3398
4,3452
4,3972
4,4391
5,2949
5,3448
6,218
6,1198
6,2199
6,2736
6,2738
6,3207
6,3731
6,3732
6,4231
6,4232
7,1186
7,1424
7,1775
7,2791
7,4170
7,4708
7,5720
8,442
8,1426
8,1918
8,1919
8,2712
8,2932
8,2933
8,3389
8,3801
8,3938
8,4290
9,246
9,248
9,260
9,261
9,652
9,733
9,748
9,811
9,812
9,1256
9,1270
9,1279
9,1458
9,1547
0,916
0,917
0,1796
0,1921
0,1922
0,2416
0,2436
0,2556
0,3435
0,3943
0,3946
0,3947
1,934
1,1433
1,2898
1,2899
1,2948
1,2950
1,3386
1,3396
1,4284
1,4365
2,400
2,1897
2,2440
2,3917
2,3918
2,3922
2,4360
3,611
3,1122
3,1297
3,1529
3,2135
3,2559
3,2648
3,2864
3,5340
4,3384
5,738
5,1217
5,2246
5,2284
5,2772
5,3276
5,3799
